GEOID,tract_geoid,NAME,state,county,tract,total_population,median_age,median_household_income,male_population,female_population,male_share,female_share,youth_population,senior_population,youth_population_share,senior_population_share,poverty_status_population,poverty_count,poverty_rate,civilian_labor_force,unemployed_count,unemployment_rate,race_ethnicity_total,white_non_hispanic,black_non_hispanic,american_indian_alaska_native_non_hispanic,asian_non_hispanic,native_hawaiian_pacific_islander_non_hispanic,other_race_non_hispanic,two_or_more_races_non_hispanic,hispanic_or_latino,white_non_hispanic_share,black_non_hispanic_share,american_indian_alaska_native_non_hispanic_share,asian_non_hispanic_share,native_hawaiian_pacific_islander_non_hispanic_share,other_race_non_hispanic_share,two_or_more_races_non_hispanic_share,hispanic_or_latino_share,total_housing_units,occupied_housing_units,vacant_housing_units,housing_vacancy_rate,occupied_units_tenure_total,owner_occupied_units,renter_occupied_units,owner_occupancy_share,renter_occupancy_share,education_population_25_plus,high_school_or_higher_count,bachelors_or_higher_count,high_school_or_higher_rate,bachelors_or_higher_rate,average_household_size
37063001711,37063001711,Census Tract 17.11; Durham County; North Carolina,37,63,1711,4777.0,31.8,50795.0,2433.0,2344.0,50.93,49.07,1324.0,488.0,27.72,10.22,4749.0,847.0,17.84,2677.0,36.0,1.34,4777.0,1292.0,2161.0,0.0,19.0,0.0,0.0,8.0,1297.0,27.05,45.24,0.0,0.4,0.0,0.0,0.17,27.15,2645.0,2393.0,252.0,9.53,2393.0,398.0,1995.0,16.63,83.37,3016.0,2574.0,1407.0,85.34,46.65,2.0
37063001712,37063001712,Census Tract 17.12; Durham County; North Carolina,37,63,1712,5382.0,43.2,111794.0,2382.0,3000.0,44.26,55.74,1265.0,1264.0,23.5,23.49,5296.0,329.0,6.21,2692.0,47.0,1.75,5382.0,4471.0,318.0,21.0,171.0,0.0,0.0,139.0,262.0,83.07,5.91,0.39,3.18,0.0,0.0,2.58,4.87,2417.0,2367.0,50.0,2.07,2367.0,1062.0,1305.0,44.87,55.13,3977.0,3870.0,3063.0,97.31,77.02,2.23
37063001713,37063001713,Census Tract 17.13; Durham County; North Carolina,37,63,1713,3434.0,51.8,104146.0,1718.0,1716.0,50.03,49.97,657.0,947.0,19.13,27.58,3434.0,265.0,7.72,1782.0,46.0,2.58,3434.0,2590.0,321.0,0.0,49.0,0.0,27.0,244.0,203.0,75.42,9.35,0.0,1.43,0.0,0.79,7.11,5.91,1471.0,1471.0,0.0,0.0,1471.0,1328.0,143.0,90.28,9.72,2625.0,2521.0,1666.0,96.04,63.47,2.32
37063001801,37063001801,Census Tract 18.01; Durham County; North Carolina,37,63,1801,9151.0,41.3,71095.0,4171.0,4980.0,45.58,54.42,1964.0,1153.0,21.46,12.6,9150.0,946.0,10.34,4903.0,240.0,4.89,9151.0,2229.0,4023.0,0.0,36.0,0.0,0.0,426.0,2437.0,24.36,43.96,0.0,0.39,0.0,0.0,4.66,26.63,3466.0,3239.0,227.0,6.55,3239.0,2419.0,820.0,74.68,25.32,6464.0,5080.0,2331.0,78.59,36.06,2.82
37063001802,37063001802,Census Tract 18.02; Durham County; North Carolina,37,63,1802,7253.0,31.3,61021.0,3507.0,3746.0,48.35,51.65,2440.0,645.0,33.64,8.89,7252.0,1752.0,24.16,3157.0,87.0,2.76,7253.0,789.0,2333.0,52.0,0.0,0.0,0.0,133.0,3946.0,10.88,32.17,0.72,0.0,0.0,0.0,1.83,54.41,2647.0,2300.0,347.0,13.11,2300.0,1301.0,999.0,56.57,43.43,4165.0,2979.0,699.0,71.52,16.78,3.14
37063001806,37063001806,Census Tract 18.06; Durham County; North Carolina,37,63,1806,7588.0,39.5,94464.0,3861.0,3727.0,50.88,49.12,1329.0,992.0,17.51,13.07,7588.0,554.0,7.3,4425.0,420.0,9.49,7588.0,1782.0,4173.0,0.0,32.0,0.0,0.0,316.0,1285.0,23.48,54.99,0.0,0.42,0.0,0.0,4.16,16.93,3002.0,2910.0,92.0,3.06,2910.0,2547.0,363.0,87.53,12.47,5569.0,4927.0,2202.0,88.47,39.54,2.61
37063001808,37063001808,Census Tract 18.08; Durham County; North Carolina,37,63,1808,10863.0,37.7,129430.0,5457.0,5406.0,50.23,49.77,2347.0,877.0,21.61,8.07,10842.0,408.0,3.76,6813.0,199.0,2.92,10863.0,4040.0,4607.0,52.0,888.0,0.0,14.0,430.0,832.0,37.19,42.41,0.48,8.17,0.0,0.13,3.96,7.66,4859.0,4619.0,240.0,4.94,4619.0,4284.0,335.0,92.75,7.25,7991.0,7509.0,5256.0,93.97,65.77,2.35
37063001809,37063001809,Census Tract 18.09; Durham County; North Carolina,37,63,1809,7936.0,36.0,95281.0,3597.0,4339.0,45.33,54.67,1104.0,987.0,13.91,12.44,7906.0,669.0,8.46,5287.0,223.0,4.22,7936.0,3766.0,2148.0,2.0,685.0,0.0,68.0,292.0,975.0,47.45,27.07,0.03,8.63,0.0,0.86,3.68,12.29,4304.0,4085.0,219.0,5.09,4085.0,2073.0,2012.0,50.75,49.25,6230.0,5847.0,3045.0,93.85,48.88,1.94
37063001810,37063001810,Census Tract 18.10; Durham County; North Carolina,37,63,1810,4774.0,32.3,59935.0,2365.0,2409.0,49.54,50.46,1603.0,446.0,33.58,9.34,4715.0,728.0,15.44,2191.0,102.0,4.66,4774.0,455.0,1954.0,0.0,0.0,77.0,0.0,269.0,2019.0,9.53,40.93,0.0,0.0,1.61,0.0,5.63,42.29,1342.0,1323.0,19.0,1.42,1323.0,780.0,543.0,58.96,41.04,2757.0,2121.0,727.0,76.93,26.37,3.56
37063001811,37063001811,Census Tract 18.11; Durham County; North Carolina,37,63,1811,6314.0,37.2,84541.0,3150.0,3164.0,49.89,50.11,1609.0,1051.0,25.48,16.65,6295.0,288.0,4.58,3481.0,146.0,4.19,6314.0,1248.0,3790.0,0.0,47.0,2.0,79.0,108.0,1040.0,19.77,60.03,0.0,0.74,0.03,1.25,1.71,16.47,2298.0,2198.0,100.0,4.35,2198.0,1836.0,362.0,83.53,16.47,4391.0,4043.0,1799.0,92.07,40.97,2.86
